Carbohydrate:,Fat,saturates,Salt (g),Protein g,Energy (kcal),Energy kg/kcal,Dietary fibre,Of which saturates,Carbohydrates:,Energy kcal,Carbohydrates,(kcal),Protein:,Carbohydrate g,Energy kJ,monounsaturates,Saturates,Energy value,Energy:,kcal,Proteins,Total Omega  3,reviews,Fiber,name,starch,Fibre (g),Protein,Protein (g),item_code,Energy  kJ,Mono unsaturates,and EPA,Energy (kJ),Trans Fat,price,Carbohydrate,Of which Sugars,Fibre,Carbohydrates (g),polyunsaturates,Country of Origin,sugars,unit,Energy,Total fat,Fibre g,Fat:,Polyunsaturates,Monounsaturates,rating,Polyols,Fat (g),Of which Saturates,Salt,Sodium,mono unsaturates,url,Energy kJ/kcal,Sugars,Starch,Of which sugars,Fat g,Salt g,Total Sugars,Salt:,Fats
,10.5g,,,,,,,,,209kcal,,,,,,,2.9g,,,,,,0,,Sainsbury's British Fresh Roast in the Bag Chicken Thighs & Drumsticks 600g (Serves 2),,,25.3g,,7934476,,,,,,£2.80/unit,3.1g,,<0.5g,,,Produced in United Kingdom; Produced using British chicken,,unit,874kJ,,,,3.0g,4.1g,0.0,,,,0.62g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1249624&urlRequestType=Base&categoryId=310868&catalogId=10123&langId=44,,1.8g,,,,,,,
,10.8g,,,,,,,,,209kcal,,,,,,,2.8g,,,,,,0,,Sainsbury's British Fresh Firecracker Chicken Thighs & Drumsticks 700g,,,21.9g,,7934465,,,,,,£2.85/unit,5.5g,,0.9g,,,Produced in United Kingdom; Produced using British chicken,,unit,873kJ,,,,2.6g,5.0g,0.0,,,,0.68g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1249622&urlRequestType=Base&categoryId=310868&catalogId=10123&langId=44,,4.7g,,,,,,,
,7.2g,,,,,,,,,193kcal,,,,,,,0.7g,,,,,,16,,Sainsbury's Lightly Dusted Mini Chicken Fillets 305g,,,20.3g,,7880698,,,,,,£2.70/unit,11.7g,,<0.5g,,,Produced in United Kingdom; Produced using British chicken,,unit,813kJ,,,,2.0g,4.1g,2.0,,,,0.52g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-lightly-dusted-mini-chicken-fillets-305g-7880698-p-44,,0.8g,10.9g,,,,,,
,10.3g,,,,,,,,,232kcal,,,,,,,1.0g,,,,,,2,,Sainsbury's Oat & Seed Mini Fillets 305g,,,18.5g,,7895814,,,,,,£2.50/unit,16.2g,,<0.5g,,,Produced in United Kingdom; Produced using British chicken,,unit,972kJ,,,,3.2g,5.6g,5.0,,,,0.67g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1184248&urlRequestType=Base&categoryId=310869&catalogId=10119&langId=44,,1.3g,14.8g,,,,,,
,21.6g,,,,,,,,,289kcal,,,,,,,8.0g,,,,,,21,,Sainsbury's Chicken Kiev Garlic x2 260g,,,13.8g,,410175,,,,,,£2.15/unit,9.6g,,0.7g,,,Produced in United Kingdom; Produced using British chicken,,unit,1203kJ,,,,3.5g,8.8g,3.7619,,,,0.60g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-breaded-garlic-chicken-kievs-x2-260g,,0.7g,8.9g,,,,,,
,13.6g,,,,,,,,,233kcal,,,,,,,3.3g,,,,,,15,,Sainsbury's Ham & Cheese Chicken Kiev x2 260g,,,15.6g,,410199,,,,,,£2.15/unit,11.7g,,<0.5g,,,Produced in United Kingdom; Produced using British chicken and pork,,unit,971kJ,,,,3.1g,6.5g,3.0667,,,,0.66g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-breaded-ham---cheese-filled-chicken-kievs-x2-260g,,1.0g,10.7g,,,,,,
,12.4g,,,,,,,,,213kcal,,,,,,,3.6g,,,,,,15,,"Sainsbury's Garlic & Herb Chicken Kiev, Be Good To Yourself x2 260g",,,14.7g,,1032178,,,,,,£2.15/unit,10.6g,,<0.5g,,,Produced in United Kingdom; Produced using British chicken,,unit,891kJ,,,,2.4g,5.7g,2.6667,,,,0.59g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-breaded-garlic-chicken-kiev--be-good-to-yourself-x2-260g,,<0.5g,10.1g,,,,,,
,18.0g,,,,,,,,,306kcal,,,,,,,2.2g,,,,,,11,,Sainsbury's Breaded Chicken Goujons 270g,,,17.5g,,7880074,,,,,,£1.60/unit,17.5g,,1.6g,,,Produced in United Kingdom; Produced using British Chicken,,unit,1276kJ,,,,4.7g,10.4g,2.7273,,,,0.87g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-breaded-chicken-goujons-270g,,0.9g,16.6g,,,,,,
,13.4g,,,,,,,,,251kcal,,,,,,,1.8g,,,,,,18,,Sainsbury's Breaded Chicken Goujons 540g,,,16.5g,,7879885,,,,,,£3.20/unit,15.7g,,0.6g,,,Produced in United Kingdom; Produced using British chicken,,unit,1049kJ,,,,3.8g,7.1g,1.9444,,,,0.72g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-breaded-chicken-goujons-540g,,0.7g,15.0g,,,,,,
,13.6g,,,,,,,,,238kcal,,,,,,,4.2g,,,,,,11,,Sainsbury's Garlic Chicken Kiev 390g,,,19.8g,,7881130,,,,,,£3.95/unit,8.6g,,1.2g,,,Produced in United Kingdom; Produced using British Chicken,,unit,996kJ,,,,1.8g,6.9g,3.7273,,,,0.50g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-garlic-chicken-kiev-400g,,1.0g,7.6g,,,,,,
,9.1g,,,,,,,,,217kcal,,,,,,,0.7g,,,,,,12,,Sainsbury's Southern Fried Breaded Chicken Mini Fillets 300g,,,21.2g,,7881140,,,,,,£2.70/unit,12.0g,,1.0g,,,Produced in United Kingdom; Produced using British Chicken,,unit,909kJ,,,,2.4g,5.5g,2.5833,,,,0.76g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-southern-fried-breaded-mini-fillets-320g,,<0.5g,11.7g,,,,,,
,9.8g,,,,,,,,,220kcal,,,,,,,0.9g,,,,,,20,,Sainsbury's Breaded Mini Chicken Fillets 305g,,,19.2g,,7880069,,,,,,£2.70/unit,13.5g,,0.6g,,,Produced in United Kingdom; Produced using British chicken,,unit,923kJ,,,,2.7g,5.7g,1.6,,,,0.49g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-breaded-mini-chicken-fillets-305g,,0.9g,12.6g,,,,,,
,9.9g,,,,,,,,,218kcal,,,,,,,1.0g,,,,,,18,,Sainsbury's Breaded Chicken Fillets x2 350g,,,18.4g,,7881218,,,,,,£3.00/unit,13.1g,,1.3g,,,Produced in United Kingdom; Produced using British chicken,,unit,912kJ,,,,2.5g,6.0g,2.1667,,,,0.67g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-breaded-chicken-fillets-x2-350g,,1.1g,12.0g,,,,,,
,12.1g,,,,,,,,,244kcal,,,,,,,1.2g,,,,,,10,,Sainsbury's Southern Fried Breaded Chicken Goujons 325g,,,19.3g,,7876930,,,,,,£2.05/unit,13.9g,,1.2g,,,Produced in United Kingdom; Produced using British Chicken,,unit,1022kJ,,,,3.1g,7.2g,2.6,,,,0.71g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-southern-fried-breaded-goujons-350g,,<0.5g,13.6g,,,,,,
,6.6g,,,,,,,,,183kcal,,,,,,,0.6g,,,,,,4,,Sainsbury's Southern Fried Breaded Chicken Breast Fillets x2 315g,,,21.3g,,7881212,,,,,,£3.00/unit,8.9g,,1.2g,,,Produced in United Kingdom; Produced using British Chicken,,unit,767kJ,,,,1.8g,4.0g,3.0,,,,0.61g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-southern-fried-breast-fillet-320g,,<0.5g,8.5g,,,,,,
,12.3g,,,,,,,,,229kcal,,,,,,,1.8g,,,,,,2,,Sainsbury's Breaded Chicken Steaks x4 500g,,,16.4g,,7876921,,,,,,£3.70/unit,13.0g,,<0.5g,,,Produced in United Kingdom; Produced using British chicken,,unit,957kJ,,,,3.5g,6.5g,2.5,,,,0.65g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-breaded-chicken-steaks-500g,,0.8g,12.2g,,,,,,
,8.9g,,,,,,,,,207kcal,,,,,,,1.0g,,,,,,3,,Sainsbury's Firecracker Chicken Fillets x2 350g,,,21.8g,,7881147,,,,,,£3.00/unit,8.5g,,2.8g,,,Produced in United Kingdom; Produced using British chicken,,unit,867kJ,,,,2.4g,5.1g,5.0,,,,0.84g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-fire-cracker-chicken-fillets-x2-350g,,2.5g,6.0g,,,,,,
,16.7g,,,,,,,,,1.5g,,,,,,,,,,,,,1,,Bernard Matthews Ham & Cheese Turkey Escalopes 285g,,,9.1g,,7875259,,,,,,£2.10/unit,17.4g,,1.5g,,,,,unit,1092kJ,,,,,,2.0,,,,0.98g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/bernard-matthews-ham---cheese-turkey-escalopes-285g,,,,,,,,,
,13.7g,,,,,,,,,0.2g,,,,,,,,,,,,,2,,Bernard Matthews Turkey Escalopes 260g,,,12.6g,,7875257,,,,,,£2.10/unit,16.4g,,1.2g,,,,,unit,989kJ,,,,,,3.0,,,,0.9g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/bernard-matthews-turkey-escalopes-260g,,,,,,,,,
,10.8g,,,,,,,,,216kcal,,,,,,,1.8g,,,,,,9,,Sainsbury's Corned Beef Crispbake 227g,,,11.2g,,7858906,,,,,,£1.60/unit,17.6g,,1.9g,,,Produced in United Kingdom; Produced using Brazilian beef,,unit,905kJ,,,,2.0g,6.0g,2.0,,,,0.70g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-corned-beef-crispbake-227g,,2.4g,15.2g,,,,,,
,13.6g,,,,,,,,,<0.5g,,,,,1077,7.8g,,,,,,,2,,Sainsbury's Breaded British Chicken Nuggets 250g,15.9g,,17.1g,,7917837,,,,,,£1.95/unit,16.2g,,1.0g,,3.5g,,,unit,,,,,,,1.5,,,,0.76g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1223044&urlRequestType=Base&categoryId=310869&catalogId=10119&langId=44,,,,,,,,,
,17.0g,,,,,,,,,267kcal,,,,,,,6.2g,,,,,,1,,Sainsbury's Cheese & Bacon Crispbake 227g,,,9.9g,,7858893,,,,,,£1.60/unit,17.7g,,1.7g,,,Produced in United Kingdom; Produced using British pork,,unit,1112kJ,,,,2.2g,6.8g,4.0,,,,0.68g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-cheese---bacon-crispbake-227g,,1.8g,16.0g,,,,,,
,11.3g,,,,,,,,,216kcal,,,,,,,0.8g,,,,,,5,,Sainsbury's Gluten Free Battered Chicken Chunks 310g,,,19.8g,,7880642,,,,,,£3.00/unit,8.4g,,0.6g,,,Produced in United Kingdom; Produced using British Chicken,,unit,902kJ,,,,3.1g,6.9g,4.2,,,,0.79g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-gluten-free-battered-chicken-chunks-310g,,<0.5g,8.2g,,,,,,
,11.4g,,,,,,,,,238kcal,,,,,,,1.0g,,,,,,1,,Sainsbury's Firecracker Mini Chicken Fillets 305g,,,18.2g,,7881203,,,,,,£2.70/unit,15.2g,,1.2g,,,Produced in United Kingdom; Produced using British chicken,,unit,999kJ,,,,3.2g,6.7g,5.0,,,,0.59g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-fire-cracker-mini-chicken-fillets-305g,,2.2g,13.0g,,,,,,
,8.4g,,,,,,,,,<0.5g,,,,,823,5.1g,,,,,,,1,,Sainsbury's Gluten Free Coated Chicken Breast Fillet 330g,11.4g,,18.0g,,7880525,,,,,,£3.00/unit,11.5g,,1.3g,,2.2g,,,unit,,,,,,,5.0,,,,0.81g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-gluten-free-coated-chicken-breast-fillet-330g,,,,,,,,,
,12.2g,,,,,,,,,216kcal,,,,,,,2.6g,,,,,,4,,Sainsbury's Cheese & Leek Chicken Kievs x2 260g,,,14.5g,,7876912,,,,,,£2.15/unit,11.4g,,1.4g,,,Produced in United Kingdom; Produced using British chicken,,unit,902kJ,,,,3.0g,5.9g,1.0,,,,0.62g,,,https://www.sainsburys.co.uk/shop/gb/groceries/breaded---kiev-44/sainsburys-cheese---leek-chicken-kiev-260g,,0.9g,10.5g,,,,,,
,12.3g,,,,,,,,,1.8g,,,,,975,7.0g,,,,,,,2,,Sainsbury's Southern Fried British Chicken Drums & Thighs 800g,10.9g,,18.8g,,7915269,,,,,,£4.00/unit,11.2g,,1.2g,,3.0g,,<0.5g,unit,,,,,,,4.5,,,,0.69g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1216792&urlRequestType=Base&categoryId=310869&catalogId=10119&langId=44,,,,,,,,,
,12.9g,1.5g,,,,,,,,265,,,,,1108,7.6g,,,,,,,0,,Sainsbury's Plain Breaded British Chicken Pop Selection 300g,17.5g,,18.4g,,7915266,,,,,,£2.75/unit,18.0g,,1.4g,,3.3g,,<0.5g,unit,,,,,,,0.0,,,,0.97g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1216790&urlRequestType=Base&categoryId=310869&catalogId=10119&langId=44,,,,,,,,,
,10.2g,1.2g,,,,,,,,219,,,,,918,6.0g,,,,,,,2,,Sainsbury's Breaded British Chicken Burgers x2 230g,12.1g,,16.7g,,7911833,,,,,,£2.00/unit,14.5g,,1.1g,,2.6g,,2.4g,unit,,,,,,,1.0,,,,0.72g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1211510&urlRequestType=Base&categoryId=310869&catalogId=10119&langId=44,,,,,,,,,
,19.9g,,,,,,,,,297kcal,,,,,,,7.2g,,,,,,0,,J.James & Family 2 Breaded British Chicken Kievs with Garlic Butter 240g,,,11.9g,,7944883,,,,,,£1.30/unit,17.0g,,1.1g,,,Produced in United Kingdom; Produced using British chicken,,unit,1238kJ,,,,3.4g,8.5g,0.0,,,,0.56g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1254886&urlRequestType=Base&categoryId=310869&catalogId=10119&langId=44,,0.8g,16.2g,,,,,,
,13.4g,,,,,,,,,234kcal,,,,,,,2.1g,,,,,,0,,J.James & Family 4 British Breaded Chicken Steaks 500g,,,14.1g,,7944887,,,,,,£1.80/unit,13.2g,,2.1g,,,Produced in United Kingdom; Produced using British chicken,,unit,976kJ,,,,3.4g,7.2g,0.0,,,,0.58g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1254888&urlRequestType=Base&categoryId=310869&catalogId=10119&langId=44,,<0.5g,12.7g,,,,,,
,7.6g,3.8g,,,,,,,,165,,,,,692,2.4g,,,,,,,0,,Sainsbury's Slow Cook Thai Green Chicken Curry 560g (Serves 2),6.4g,,15.5g,,7905131,,,,,,£5.00/unit,7.6g,,2.4g,,1.0g,,1.2g,unit,,,,,,,0.0,,,,0.77g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1198472&urlRequestType=Base&categoryId=310871&catalogId=10133&langId=44,,,,,,,,,
,6.2g,,,,,,,,,160kcal,,,,,,,1.9g,,,,,,35,,Sainsbury's Just Cook British Chicken Crown with Garlic & Herb Butter 525g (Serves 3),,,26.1g,,7161961,,,,,,£4.00/unit,0g,,0g,,,Produced in United Kingdom; Produced using British chicken,,unit,673kJ,,,,1.4g,2.6g,4.2571,,,,0.30g,,,https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook/sainsburys-just-cook-garlic-chicken-crown-530g,,0g,,,,,,,
,12.0g,,,,,,,,,200kcal,,,,,,,4.6g,,,,,,35,,Sainsbury's Just Cook Chicken Breast Joint Butter Basted 500g (Serves 3),,,22.8g,,6272095,,,,,,£4.00/unit,<0.5g,,<0.5g,,,Produced in United Kingdom; Produced using British chicken,,unit,836kJ,,,,1.7g,5.0g,2.6857,,,,0.27g,,,https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook/sainsburys-just-cook-butter-basted-chicken-breast,,<0.5g,,,,,,,
,13.9g,,,,,,,,,221kcal,,,,,,,5.1g,,,,,,13,,"Sainsbury's Just Cook Chicken Breast with Pork, Sage & Onion Stuffing 500g (Serves 3)",,,23.2g,,1077568,,,,,,£4.00/unit,0.8g,,<0.5g,,,Produced in United Kingdom; Produced using British chicken and pork,,unit,923kJ,,,,2.1g,5.7g,3.0769,,,,0.54g,,,https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook/sainsburys-just-cook-chicken-breast-with-sage---onion-stuffing-500g,,<0.5g,,,,,,,
,5.6g,,,,,,,,,155kcal,,,,,,,1.9g,,,,,,10,,Sainsbury's Just Cook Chicken Breasts with Cheese and Bacon 321g (Serves 2),,,26.0g,,7847524,,,,,,£4.00/unit,<0.5g,,0g,,,Produced in United Kingdom; Produced using British chicken and pork,,unit,652kJ,,,,1.2g,2.2g,2.5,,,,0.54g,,,https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook/sainsburys-just-cook-chicken-cheese-bacon-340g,,<0.5g,,,,,,,
,4.6g,,,,,,,,,155kcal,,,,,,,1.8g,,,,,,6,,Sainsbury's Hunters Style Chicken Breast 435g (Serves 2),,,25.0g,,7852451,,,,,,£4.00/unit,3.4g,,,,,Produced in United Kingdom; Produced using British chicken and pork,,unit,652kJ,,,,,,3.0,,,,0.49g,,,https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook/sainsburys-hunters-style-chicken-breast-435g,,3.4g,,,,,,,
,12.1g,,,,,,,,,221kcal,,,,,,,6.4g,,,,,,9,,Sainsbury's Just Cook Chicken Lattice Cheese & Bacon 401g (Serves 2),,,21.7g,,7852410,,,,,,£4.00/unit,5.9g,,0.6g,,,Produced in United Kingdom; Produced using British chicken & pork,,unit,922kJ,,,,0.9g,4.1g,2.6667,,,,0.65g,,,https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook/sainsburys-chicken-lattice-cheese-n-bacon-401g,,<0.5g,,,,,,,
,5.9g,,,,,,,,,165kcal,,,,,,,1.7g,,,,,,0,,Sainsbury's Just Cook Mini Chicken Roast 355g (Serves 2),,,27.9g,,7878104,,,,,,£3.50/unit,0g,,0g,,,Produced in United Kingdom; Produced using British chicken,,unit,693kJ,,,,1.5g,2.4g,0.0,,,,0.19g,,,https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook/sainsburys-just-cook-mini-chicken-roast-355g,,0g,,,,,,,
,7.4g,,,,,,,,,150kcal,,,,,,,2.4g,,,,,,5,,Sainsbury's Chicken Roast with Chicken Gravy 390g (Serves 2),,,20.7g,,7852438,,,,,,£3.50/unit,<0.5g,,<0.5g,,,Produced in United Kingdom; Produced using British chicken and pork,,unit,628kJ,,,,1.1g,3.6g,3.6,,,,0.66g,,,https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook/sainsburys-chicken-roast-with-chicken-gravy-398g,,<0.5g,,,,,,,
,14.9g,,,,,,,,,237kcal,,,,,,,4.3g,,,,,,4,,Sainsbury's Slow Cook Buffalo Chicken Wings 600g (Serves 4),,,22.1g,,7826332,,,,,,£4.00/unit,3.3g,,0.8g,,,Produce of United Kingdom; Packed in United Kingdom; Produced using British Chicken,,unit,990kJ,,,,3.6g,6.3g,3.0,,,,0.59g,,,https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook/sainsburys-slow-cook-buffalo-wings-600g,,2.9g,,,,,,,
,5.4g,,,,,,,,,147kcal,,,,,,,1.6g,,,,,,7,,Sainsbury's Slow Cook Chicken Casserole 525g (Serves 2),,,17.1g,,7878323,,,,,,£5.00/unit,6.8g,,1.2g,,,Produced in United Kingdom; Produced using British Chicken,,unit,616kJ,,,,1.3g,2.3g,4.2857,,,,0.58g,,,https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook/sainsburys-slow-cook-chicken-casserole-525g,,3.5g,,,,,,,
,3.2g,,,,,,,,,158kcal,,,,,,,0.8g,,,,,,0,,Sainsbury's Just Cook British Chicken Breasts With Sweet Chilli Marinade 330g (Serves 2),,,27.5g,,7935588,,,,,,£3.25/unit,5.0g,,0g,,,Produced in United Kingdom; Produced using British chicken,,unit,669kJ,,,,0.9g,1.3g,0.0,,,,0.51g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1246420&urlRequestType=Base&categoryId=310871&catalogId=10133&langId=44,,5.0g,,,,,,,
,5.7g,1.7g,,,,,,,,0.6g,,,,,659,2.5g,,,,,,,0,,Sainsbury's Just Cook British Chicken Breasts With Spinach & Ricotta 360g (Serves 2),,,22.4g,,7935570,,,,,,£4.00/unit,3.9g,,<0.5g,,1.2g,,,unit,,,,,,,0.0,,,,0.52g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1246418&urlRequestType=Base&categoryId=310871&catalogId=10133&langId=44,,,,,,,,,
,2.9g,,,,,,,,,120kcal,,,,,,,0.4g,,,,,,0,,Sainsbury's Just Cook Honey & Soy Asian Chicken 430g,,,21.0g,,7878072,,,,,,£4.50/unit,2.5g,,0g,,,Produced in United Kingdom; Produced using British chicken,,unit,507kJ,,,,,,0.0,,,,0.58g,,,https://www.sainsburys.co.uk/shop/gb/groceries/ready-to-cook/sainsburys-just-cook-honey---soy-asian-chicken-430g,,1.3g,,,,,,,
,4.0g,0.8g,,,,,,,,1.1g,,,,,598,1.9g,,,,,,,1,,Sainsbury's Just Cook British Chicken Breasts With Cajun & Red Pepper Marinade 355g (Serves 2),,,25.2g,,7935593,,,,,,£4.00/unit,1.2g,,<0.5g,,1.2g,,,unit,,,,,,,5.0,,,,0.40g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1246422&urlRequestType=Base&categoryId=310871&catalogId=10133&langId=44,,,,,,,,,
,3.9g,1.5g,,,,,,,,124,,,,,522,1.5g,,,,,,,2,,Sainsbury's Slow Cooked British Chicken Breasts With Creamy Bacon & Mushroom Sauce 470g (Serves 2),1.9g,,14.3g,,7936469,,,,,,£4.50/unit,7.6g,,0.7g,,0.7g,,1.7g,unit,,,,,,,5.0,,,,0.50g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1246460&urlRequestType=Base&categoryId=310871&catalogId=10133&langId=44,,,,,,,,,
,6.8g,,,,,,,,,166kcal,,,,,,,1.9g,,,,,,1,,Sainsbury's Just Cook British Chicken Breasts WithSpanish Style Manchego & Chorizo Topping 355g (Serves 2),,,24.4g,,7935533,,,,,,£4.50/unit,1.2g,,0.9g,,,Produced in United Kingdom; Produced using British chicken and Spanish pork,,unit,695kJ,,,,1.6g,2.9g,5.0,,,,0.59g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1246416&urlRequestType=Base&categoryId=310871&catalogId=10133&langId=44,,<0.5g,,,,,,,
,3.8g,,,,,,,,,148kcal,,,,,,,1.6g,,,,,,0,,Sainsbury's Just Cook British Chicken Breasts With Mango & Pineapple Sauce 355g (Serves 2),,,23.9g,,7935599,,,,,,£4.00/unit,4.3g,,0g,,,Produced in United Kingdom; Produced using British chicken,,unit,622kJ,,,,0.8g,1.3g,0.0,,,,0.47g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1246424&urlRequestType=Base&categoryId=310871&catalogId=10133&langId=44,,3.8g,,,,,,,
,7.1g,2.5g,,,,,,,,146,,,,,611,2.6g,,,,,,,3,,Sainsbury's Slow Cooked British Chicken Butter Curry 480g (Serves 2),1.9g,,11.7g,,7936564,,,,,,£4.75/unit,8.1g,,1.4g,,1.6g,,3.4g,unit,,,,,,,2.6667,,,,0.48g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1246490&urlRequestType=Base&categoryId=310871&catalogId=10133&langId=44,,,,,,,,,
,4.5g,,,,,,,,,145kcal,,,,,,,1.4g,,,,,,0,,"Sainsbury's Just Cook British Chicken Breasts with a Tomato, Mozzarella & Basil Sauce 415g",,,22.5g,,7936757,,,,,,£3.75/unit,3.2g,,0.6g,,,Produced in United Kingdom; Produced from British chicken,,unit,608kJ,,,,0.8g,2.0g,0.0,,,,0.93g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1246742&urlRequestType=Base&categoryId=310871&catalogId=10133&langId=44,,0.9g,,,,,,,
,8.9g,,,,,,,,,163kcal,,,,,,,3.0g,,,,,,2,,Sainsbury's Slow Cooked British Chicken Tikka Masala Curry 530g (Serves 2),,,17.6g,,7936709,,,,,,£4.75/unit,3.0g,,0.6g,,,"Produced in United Arab Emirates, United Kingdom; Produced using British chicken",,unit,682kJ,,,,1.9g,3.6g,3.0,,,,0.46g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1246562&urlRequestType=Base&categoryId=310871&catalogId=10133&langId=44,,1.8g,,,,,,,
,4.1g,,,,,,,,,142kcal,,,,,,,0.6g,,,,,,1,,Sainsbury's Just Cook British Chicken Breasts with a Mediterranean Style Tomato Marinade 339g,,,24.8g,,7936772,,,,,,£3.25/unit,0.7g,,1.5g,,,Produced in United Kingdom; Produced from British chicken,,unit,597kJ,,,,1.0g,2.2g,4.0,,,,0.65g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1246750&urlRequestType=Base&categoryId=310871&catalogId=10133&langId=44,,<0.5g,,,,,,,
,12.2g,2.7g,,,,,,,,1.1g,,,,,842,5.7g,,,,,,,0,,Sainsbury's Slow Cooked British Rotisserie Style 1/2 Chicken With A Herby Marinade 660g (Serves 2),,,20.7g,,7936568,,,,,,£4.50/unit,2.1g,,<0.5g,,3.3g,,,unit,,,,,,,0.0,,,,0.60g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1246494&urlRequestType=Base&categoryId=310871&catalogId=10133&langId=44,,,,,,,,,
,6.3g,1.5g,,,,,,,,137,,,,,572,2.4g,,,,,,,1,,Sainsbury's Slow Cooked British Chicken Jalfrezi Curry 480g (Serves 2),2.1g,,13.6g,,7936594,,,,,,£4.75/unit,5.7g,,1.4g,,2.1g,,2.5g,unit,,,,,,,3.0,,,,0.55g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1246512&urlRequestType=Base&categoryId=310871&catalogId=10133&langId=44,,,,,,,,,
,10.2g,,,,,,,,,214kcal,,,,,,,2.7g,,,,,,0,,Sainsbury's British Fresh Roast in the Bag Chicken Thighs & Drumsticks 600g (Serves 2),,,26.8g,,7934458,,,,,,£2.80/unit,3.6g,,<0.5g,,,Produced in United Kingdom; Produced using British chicken,,unit,896kJ,,,,3.0g,4.0g,0.0,,,,0.58g,,,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1249620&urlRequestType=Base&categoryId=310871&catalogId=10133&langId=44,,3.1g,,,,,,,
